Response_size,Requests Time (no cnxn reuse),pyCurl Time (no cnxn reuse),Requests Time (cnxn reuse),pyCurl Time (cnxn reuse)
4,10.780000000000001,1.6500000000000004,5.259999999999998,0.7300000000000004
512,11.330000000000002,1.6499999999999986,5.300000000000004,0.7399999999999949
1024,11.420000000000002,1.6500000000000057,5.329999999999998,0.7399999999999949
2048,11.400000000000006,1.6800000000000068,5.310000000000002,0.769999999999996
4096,11.400000000000006,1.6700000000000017,5.329999999999998,0.7700000000000102
8192,11.61999999999999,1.6899999999999977,5.480000000000004,0.769999999999996
16384,11.799999999999997,1.7800000000000011,5.609999999999985,0.9099999999999966
32768,13.080000000000013,1.8700000000000045,6.0,1.0600000000000023
65536,15.370000000000005,2.640000000000015,6.429999999999978,1.6900000000000261
131072,19.789999999999992,3.3700000000000045,9.0,3.1399999999999864
