Response_size,Requests Time (no cnxn reuse),pyCurl Time (no cnxn reuse),Requests Time (cnxn reuse),pyCurl Time (cnxn reuse)
4,14.917553186416626,6.358430862426758,8.79387903213501,4.486441135406494
512,16.110629081726074,6.520699977874756,8.49318790435791,4.56820011138916
1024,16.225872039794922,6.505030155181885,8.609097957611084,4.549561977386475
2048,16.9200279712677,6.4793479442596436,8.909110069274902,4.604150056838989
4096,17.040698051452637,6.5996339321136475,9.00513505935669,4.7619309425354
8192,17.98844599723816,6.797634124755859,9.456409931182861,5.010156869888306
16384,19.648366928100586,6.980382919311523,9.953685998916626,5.695292949676514
32768,23.734680891036987,8.275656938552856,10.085516214370728,6.676746129989624
65536,32.29890298843384,8.938982009887695,10.823835849761963,9.695298194885254
131072,53.09893608093262,18.798928022384644,21.195855140686035,21.195844888687134
